Table_Number,X,Y,Z,dX1,dX2
1,0.0,1.0,0.0,0.0,0.0
2,0.0,0.9999,0.0001,0.0,0.0
3,0.0,0.9997,0.0003,0.0,0.0
4,0.0,0.999,0.001,0.0,0.0
5,0.0,0.998,0.002,0.0,0.0
6,0.0,0.996,0.004,0.0,0.0
7,0.0,0.99,0.01,0.0,0.0
8,0.0,0.98,0.02,0.0,0.0
9,0.0,0.97,0.03,0.0,0.0
10,0.0,0.96,0.04,0.0,0.0
11,0.0,0.94,0.06,0.0,0.0
12,0.0,0.92,0.08,0.0,0.0
13,0.0,0.9,0.1,0.0,0.0
14,0.1,0.9,0.0,0.0,0.0
15,0.1,0.8999,0.0001,0.0,0.0
16,0.1,0.8997,0.0003,0.0,0.0
17,0.1,0.899,0.001,0.0,0.0
18,0.1,0.898,0.002,0.0,0.0
19,0.1,0.896,0.004,0.0,0.0
20,0.1,0.89,0.01,0.0,0.0
21,0.1,0.88,0.02,0.0,0.0
22,0.1,0.87,0.03,0.0,0.0
23,0.1,0.86,0.04,0.0,0.0
24,0.1,0.84,0.06,0.0,0.0
25,0.1,0.82,0.08,0.0,0.0
26,0.1,0.8,0.1,0.0,0.0
27,0.2,0.8,0.0,0.0,0.0
28,0.2,0.7999,0.0001,0.0,0.0
29,0.2,0.7997,0.0003,0.0,0.0
30,0.2,0.799,0.001,0.0,0.0
31,0.2,0.798,0.002,0.0,0.0
32,0.2,0.796,0.004,0.0,0.0
33,0.2,0.79,0.01,0.0,0.0
34,0.2,0.78,0.02,0.0,0.0
35,0.2,0.77,0.03,0.0,0.0
36,0.2,0.76,0.04,0.0,0.0
37,0.2,0.74,0.06,0.0,0.0
38,0.2,0.72,0.08,0.0,0.0
39,0.2,0.7,0.1,0.0,0.0
40,0.35,0.65,0.0,0.0,0.0
41,0.35,0.6499,0.0001,0.0,0.0
42,0.35,0.6497,0.0003,0.0,0.0
43,0.35,0.649,0.001,0.0,0.0
44,0.35,0.648,0.002,0.0,0.0
45,0.35,0.646,0.004,0.0,0.0
46,0.35,0.64,0.01,0.0,0.0
47,0.35,0.63,0.02,0.0,0.0
48,0.35,0.62,0.03,0.0,0.0
49,0.35,0.61,0.04,0.0,0.0
50,0.35,0.59,0.06,0.0,0.0
51,0.35,0.57,0.08,0.0,0.0
52,0.35,0.55,0.1,0.0,0.0
53,0.5,0.5,0.0,0.0,0.0
54,0.5,0.4999,0.0001,0.0,0.0
55,0.5,0.4997,0.0003,0.0,0.0
56,0.5,0.499,0.001,0.0,0.0
57,0.5,0.498,0.002,0.0,0.0
58,0.5,0.496,0.004,0.0,0.0
59,0.5,0.49,0.01,0.0,0.0
60,0.5,0.48,0.02,0.0,0.0
61,0.5,0.47,0.03,0.0,0.0
62,0.5,0.46,0.04,0.0,0.0
63,0.5,0.44,0.06,0.0,0.0
64,0.5,0.42,0.08,0.0,0.0
65,0.5,0.4,0.1,0.0,0.0
66,0.7,0.3,0.0,0.0,0.0
67,0.7,0.2999,0.0001,0.0,0.0
68,0.7,0.2997,0.0003,0.0,0.0
69,0.7,0.299,0.001,0.0,0.0
70,0.7,0.298,0.002,0.0,0.0
71,0.7,0.296,0.004,0.0,0.0
72,0.7,0.29,0.01,0.0,0.0
73,0.7,0.28,0.02,0.0,0.0
74,0.7,0.27,0.03,0.0,0.0
75,0.7,0.26,0.04,0.0,0.0
76,0.7,0.24,0.06,0.0,0.0
77,0.7,0.22,0.08,0.0,0.0
78,0.7,0.2,0.1,0.0,0.0
79,0.8,0.2,0.0,0.0,0.0
80,0.8,0.1999,0.0001,0.0,0.0
81,0.8,0.1997,0.0003,0.0,0.0
82,0.8,0.199,0.001,0.0,0.0
83,0.8,0.198,0.002,0.0,0.0
84,0.8,0.196,0.004,0.0,0.0
85,0.8,0.19,0.01,0.0,0.0
86,0.8,0.18,0.02,0.0,0.0
87,0.8,0.17,0.03,0.0,0.0
88,0.8,0.16,0.04,0.0,0.0
