logT,logR_-8.0,logR_-7.5,logR_-7.0,logR_-6.5,logR_-6.0,logR_-5.5,logR_-5.0,logR_-4.5,logR_-4.0,logR_-3.5,logR_-3.0,logR_-2.5,logR_-2.0,logR_-1.5,logR_-1.0,logR_-0.5,logR_0.0,logR_0.5,logR_1.0
3.75,-0.761,-0.895,-1.09,-1.301,-1.516,-1.73,-1.931,-2.099,-2.207,-2.22,-2.134,-1.979,-1.783,-1.564,-1.335,-1.095,-0.842,-0.576,-0.294
3.8,-0.487,-0.555,-0.636,-0.76,-0.913,-1.078,-1.239,-1.374,-1.455,-1.462,-1.39,-1.252,-1.076,-0.88,-0.671,-0.452,-0.221,0.022,0.277
3.85,-0.487,-0.483,-0.479,-0.48,-0.498,-0.543,-0.604,-0.661,-0.692,-0.68,-0.618,-0.513,-0.374,-0.211,-0.032,0.161,0.367,0.588,0.825
3.9,-0.499,-0.481,-0.464,-0.427,-0.359,-0.26,-0.154,-0.062,0.011,0.077,0.147,0.231,0.332,0.454,0.596,0.753,0.928,1.121,1.334
3.95,-0.5,-0.484,-0.469,-0.433,-0.352,-0.205,0.014,0.274,0.513,0.696,0.825,0.925,1.014,1.107,1.211,1.331,1.47,1.629,1.809
4.0,-0.49,-0.481,-0.472,-0.443,-0.371,-0.226,0.015,0.346,0.717,1.053,1.305,1.48,1.601,1.695,1.782,1.875,1.982,2.109,2.256
4.05,-0.466,-0.463,-0.46,-0.442,-0.387,-0.259,-0.032,0.302,0.711,1.139,1.526,1.826,2.029,2.168,2.271,2.36,2.451,2.554,2.675
4.1,-0.463,-0.455,-0.447,-0.429,-0.383,-0.277,-0.08,0.226,0.627,1.08,1.542,1.953,2.277,2.507,2.66,2.773,2.868,2.962,3.068
4.15,-0.456,-0.447,-0.438,-0.421,-0.378,-0.282,-0.106,0.166,0.536,0.98,1.459,1.938,2.369,2.706,2.943,3.107,3.229,3.331,3.434
4.2,-0.458,-0.445,-0.432,-0.412,-0.373,-0.287,-0.126,0.129,0.478,0.899,1.373,1.875,2.363,2.795,3.134,3.369,3.537,3.666,3.776
4.25,-0.458,-0.444,-0.43,-0.408,-0.368,-0.288,-0.142,0.095,0.431,0.852,1.32,1.821,2.327,2.822,3.245,3.564,3.794,3.963,4.094
