Atomic Number,Symbol,Abundance (12+log[x]/[H]),Relative Mass,chi1,chi2
1,H,12.0,1.0,13.595,0.0
2,He,10.99,3.9708353174603177,24.58,54.403
3,Li,1.16,6.884920634920635,5.39,75.62
4,Be,1.15,8.940657837301586,9.32,18.21
5,B,2.88,10.72420634920635,8.298,25.15
6,C,8.56,11.915674603174605,11.256,24.376
7,N,8.05,13.895833333333332,14.529,29.59
8,O,8.93,15.87202380952381,13.614,35.11
9,F,4.56,18.847622184523807,17.418,34.98
10,Ne,8.09,20.01954365079365,21.559,41.07
11,Na,6.33,22.8073107936508,5.138,47.29
12,Mg,7.58,24.11210317460317,7.644,15.03
13,Al,6.47,26.767399206349207,5.984,18.823
14,Si,7.55,27.86210317460317,8.149,16.34
15,P,5.45,30.727938490079364,10.474,19.72
16,S,7.21,31.80555555555556,10.357,23.405
17,Cl,5.5,35.1686507936508,13.012,23.798
18,Ar,5.56,39.63293650793651,15.755,27.62
19,K,5.12,38.78799603174603,4.339,31.81
20,Ca,7.56,39.75992063492064,6.111,11.868
21,Sc,3.1,44.5991140873016,6.538,12.891
22,Ti,4.87,47.48710317460317,6.825,13.63
23,V,4.0,50.53720238095238,6.738,14.205
24,Cr,5.67,51.58343253968254,6.763,16.493
25,Mn,5.39,54.502026785714285,7.432,15.636
26,Fe,7.46,55.40178571428572,7.896,16.178
27,Co,4.92,58.46547023809524,7.863,17.052
28,Ni,6.25,58.22757936507936,7.633,18.15
29,Cu,4.21,63.04166666666666,7.724,20.286
30,Zn,4.6,64.8611111111111,9.391,17.96
31,Ga,2.88,69.16964285714286,5.997,20.509
32,Ge,3.41,72.05357142857143,7.88,15.93
33,As,2.37,74.32697916666666,9.81,18.63
34,Se,3.35,78.34424603174604,9.75,21.5
35,Br,2.63,79.26984126984127,11.84,21.6
36,Kr,3.23,83.1329365079365,13.996,24.565
37,Rb,2.6,84.78948412698412,4.176,27.5
38,Sr,2.9,86.92460317460318,5.692,11.027
39,Y,2.24,88.20023611111111,6.377,12.233
40,Zr,2.6,90.5,6.838,13.13
41,Nb,1.42,92.16901785714283,6.881,14.316
42,Mo,1.92,95.18849206349206,7.1,16.15
43,Tc,0.0,97.22222222222224,7.28,15.26
44,Ru,1.84,100.26785714285714,7.36,16.76
45,Rh,1.12,102.08877976190476,7.46,18.07
46,Pd,1.69,105.57539682539682,8.33,19.42
47,Ag,1.24,107.01210317460315,7.574,21.48
48,Cd,1.86,111.5218253968254,8.991,16.904
49,In,0.82,113.90674603174602,5.785,18.86
50,Sn,2.0,117.76785714285714,7.34,14.63
51,Sb,1.0,120.7936507936508,8.64,16.5
52,Te,2.24,126.58730158730158,9.01,18.6
53,I,1.51,125.89729166666667,10.454,19.09
54,Xe,2.23,130.25099206349208,12.127,21.2
55,Cs,1.12,131.85064678571428,3.893,25.1
56,Ba,2.13,136.23710317460316,5.21,10.001
57,La,1.22,137.80304563492064,5.577,11.06
58,Ce,1.55,139.00396825396825,5.466,10.85
59,Pr,0.71,139.78934523809522,5.422,10.55
60,Nd,1.5,143.0972222222222,5.489,10.73
61,Pm,0.0,143.84920634920636,5.554,10.899
62,Sm,1.0,149.16666666666669,5.631,11.069
63,Eu,0.51,150.7579365079365,5.666,11.241
64,Gd,1.12,156.00198412698413,6.141,12.09
65,Tb,0.33,157.66404166666666,5.852,11.519
66,Dy,1.1,161.21031746031747,5.927,11.67
67,Ho,0.5,163.62135813492063,6.018,11.8
68,Er,0.93,165.9315476190476,6.101,11.93
69,Tm,0.13,167.59347123015874,6.184,12.05
70,Yb,1.08,171.67162698412696,6.254,12.184
71,Lu,0.12,173.5781746031746,5.426,13.9
72,Hf,0.88,177.06944444444443,6.65,14.9
73,Ta,0.13,179.5117857142857,7.879,16.2
74,W,0.68,182.3809523809524,7.98,17.7
75,Re,0.27,184.72916666666663,7.87,16.6
76,Os,1.45,188.72023809523807,8.7,17.0
77,Ir,1.35,190.69146825396825,9.1,20.0
78,Pt,1.8,193.53571428571428,9.0,18.56
79,Au,0.83,195.40334325396825,9.22,20.5
80,Hg,1.09,199.0,10.43,18.75
81,Tl,0.82,202.7579365079365,6.105,20.42
82,Pb,1.85,205.55555555555557,7.415,15.03
83,Bi,0.71,207.3218253968254,7.287,16.68
84,Po,-8.0,207.34126984126985,8.43,19.0
85,At,-8.0,208.33333333333331,9.3,20.0
86,Rn,-8.0,220.23809523809524,10.745,20.0
87,Fr,-8.0,221.23015873015876,4.0,22.0
88,Ra,-8.0,224.2063492063492,5.276,10.144
89,Ac,-8.0,225.1984126984127,6.9,12.1
90,Th,0.12,230.1961309523809,6.0,12.0
91,Pa,-8.0,229.20226190476188,6.0,12.0
92,U,-0.49,236.13979166666667,6.0,12.0
